item_type,material_type,labor_hours,quantity,finish_type,urgency_level,price,length,width,height
brass showpiece,engineered wood,16.3,1,melamine,rush,18500.0,83,30,89
cane stool,glass,9.8,1,pu polish,standard,6500.0,13,33,44
bed frame,aluminium,4.0,1,pu polish,standard,8300.0,60,36,73
wooden partition,glass,21.4,1,raw,rush,16900.0,75,12,65
teak rocking chair,iron,23.3,1,gloss,standard,15300.0,64,11,74
glass coffee table,teak wood,26.4,1,raw,express,20300.0,15,11,20
wooden partition,iron,16.0,1,gloss,express,15200.0,85,45,28
bed frame,particle board,28.1,4,pu polish,standard,55400.0,64,33,40
teak rocking chair,teak wood,2.2,1,matte,rush,4500.0,20,33,15
glass coffee table,glass,38.6,3,matte,rush,86000.0,16,51,55
iron table,teak wood,29.4,1,charcoal finish,rush,28700.0,73,33,51
wooden chair,glass,12.1,1,melamine,rush,14300.0,89,12,15
brass showpiece,particle board,29.4,1,charcoal finish,rush,18600.0,53,22,65
executive office chair,engineered wood,11.8,1,pu polish,standard,8300.0,34,48,29
glass coffee table,brass,39.5,1,raw,express,37500.0,53,54,76
wooden dining table,aluminium,20.4,1,charcoal finish,standard,12700.0,73,42,15
executive office chair,particle board,11.6,1,natural polish,rush,15300.0,81,17,41
cane stool,brass,12.8,4,matte,standard,81100.0,73,58,72
glass coffee table,teak wood,23.6,1,melamine,standard,18000.0,67,26,73
steel bookshelf,teak wood,27.5,1,matte,rush,28500.0,13,53,46
study desk,sheesham wood,29.2,1,natural polish,standard,22700.0,49,33,83
wooden partition,teak wood,31.1,1,matte,rush,26900.0,81,25,17
glass coffee table,glass,24.3,1,raw,rush,20900.0,63,50,47
wooden chair,particle board,30.4,1,matte,express,17000.0,34,40,56
teak rocking chair,engineered wood,26.0,4,raw,standard,63000.0,13,10,62
brass showpiece,particle board,40.1,2,matte,rush,59000.0,30,57,94
wooden chair,sheesham wood,27.0,1,raw,rush,32300.0,83,45,52
lounge sofa,particle board,30.0,1,natural polish,standard,19200.0,29,55,80
wooden chair,engineered wood,34.0,1,matte,express,19000.0,32,57,34
wooden chair,teak wood,18.9,4,raw,rush,88100.0,33,55,44
cane stool,iron,11.9,2,melamine,express,21600.0,39,56,78
glass coffee table,engineered wood,41.3,4,natural polish,standard,77000.0,28,53,44
cane stool,teak wood,10.2,1,pu polish,standard,13800.0,71,42,77
glass coffee table,iron,28.4,1,matte,express,18400.0,65,12,60
brass showpiece,iron,7.9,2,charcoal finish,rush,23800.0,13,35,31
brass showpiece,aluminium,24.0,3,charcoal finish,express,55800.0,61,34,38
executive office chair,engineered wood,3.2,2,matte,express,20000.0,27,23,90
brass showpiece,brass,12.8,2,natural polish,standard,37700.0,69,31,72
wooden wardrobe,brass,38.2,1,natural polish,standard,23500.0,19,53,19
wooden dining table,glass,20.6,1,charcoal finish,standard,11100.0,41,28,31
steel bookshelf,aluminium,9.5,1,melamine,express,6400.0,34,18,26
wooden partition,iron,33.7,4,pu polish,express,74500.0,59,34,15
steel bookshelf,brass,34.6,1,melamine,rush,32800.0,78,21,40
executive office chair,steel,34.8,1,charcoal finish,standard,21100.0,73,14,90
wooden dining table,teak wood,13.2,2,pu polish,express,35000.0,34,19,83
modular tv unit,teak wood,42.6,3,melamine,standard,76600.0,15,25,38
study desk,engineered wood,37.3,2,raw,express,48900.0,46,42,47
study desk,iron,18.6,1,melamine,rush,16100.0,46,32,95
lounge sofa,iron,29.0,1,natural polish,standard,13000.0,18,13,72
cane stool,engineered wood,26.8,1,matte,standard,13900.0,47,19,87
wooden dining table,iron,12.3,1,matte,rush,14800.0,35,32,76
executive office chair,cane,18.8,1,matte,rush,19000.0,41,26,76
study desk,glass,42.9,1,matte,standard,23300.0,30,21,23
modular tv unit,steel,34.4,1,melamine,rush,24400.0,23,34,66
teak rocking chair,cane,21.0,1,melamine,standard,11200.0,53,48,28
study desk,iron,5.6,1,charcoal finish,standard,6900.0,85,53,31
modular tv unit,particle board,44.4,1,gloss,rush,26600.0,77,14,43
wooden chair,brass,18.2,1,raw,standard,20000.0,82,34,59
glass coffee table,brass,23.2,1,charcoal finish,rush,29900.0,85,35,33
iron table,aluminium,43.4,1,raw,standard,19300.0,50,10,17
bed frame,teak wood,43.7,1,matte,standard,28400.0,49,15,72
wooden partition,steel,43.7,1,pu polish,standard,22600.0,86,46,50
wooden chair,teak wood,43.2,3,melamine,express,100000.0,14,25,71
cane stool,brass,17.2,1,raw,standard,12100.0,19,37,50
bed frame,steel,37.0,1,matte,rush,27500.0,74,26,87
executive office chair,glass,42.1,1,melamine,express,29500.0,80,56,39
steel bookshelf,cane,34.2,1,matte,express,23800.0,76,27,63
study desk,teak wood,37.0,2,melamine,standard,48000.0,12,30,69
wooden wardrobe,glass,12.6,2,melamine,rush,32400.0,64,46,88
glass coffee table,engineered wood,23.4,1,pu polish,standard,17700.0,43,43,86
wooden wardrobe,glass,5.8,4,natural polish,express,41100.0,23,10,68
teak rocking chair,teak wood,11.2,1,charcoal finish,rush,19700.0,34,24,28
iron table,brass,17.0,3,gloss,express,63000.0,41,24,65
wooden chair,sheesham wood,21.8,1,charcoal finish,express,21700.0,62,26,19
modular tv unit,teak wood,11.0,1,raw,standard,14500.0,45,15,67
study desk,glass,29.6,1,charcoal finish,standard,18600.0,34,25,89
wooden dining table,sheesham wood,10.3,1,matte,rush,21900.0,78,36,46
modular tv unit,brass,17.7,1,melamine,express,15500.0,12,14,26
executive office chair,particle board,41.6,2,gloss,standard,46400.0,58,31,70
wooden chair,aluminium,17.9,1,raw,standard,14500.0,19,58,66
lounge sofa,aluminium,3.6,1,raw,rush,11400.0,89,33,16
brass showpiece,glass,33.7,1,charcoal finish,rush,22100.0,29,47,29
modular tv unit,cane,22.4,1,matte,standard,10800.0,55,34,31
teak rocking chair,iron,26.3,1,charcoal finish,rush,19300.0,45,56,22
steel bookshelf,brass,44.4,1,raw,express,41200.0,75,43,73
teak rocking chair,teak wood,8.9,1,melamine,express,14200.0,32,15,84
lounge sofa,sheesham wood,44.9,1,charcoal finish,standard,25800.0,14,40,54
iron table,engineered wood,23.1,4,raw,rush,77100.0,15,24,20
wooden partition,sheesham wood,15.9,1,gloss,rush,18000.0,56,53,19
wooden dining table,teak wood,14.4,1,raw,standard,12200.0,23,56,15
lounge sofa,engineered wood,7.8,1,melamine,rush,8000.0,14,42,20
bed frame,iron,27.6,1,melamine,express,21800.0,76,46,87
glass coffee table,teak wood,33.4,1,melamine,express,32700.0,71,53,64
glass coffee table,glass,34.3,2,matte,express,45000.0,71,38,86
steel bookshelf,steel,39.7,1,melamine,rush,29400.0,89,35,76
iron table,sheesham wood,26.8,1,charcoal finish,express,23600.0,43,47,37
wooden chair,cane,20.6,1,gloss,express,17600.0,64,49,65
brass showpiece,glass,8.5,1,gloss,rush,8800.0,40,42,41
executive office chair,steel,39.7,1,natural polish,rush,26400.0,44,13,80
wooden wardrobe,brass,36.3,1,melamine,rush,38100.0,58,45,66
wooden partition,engineered wood,12.8,1,raw,standard,8700.0,13,36,50
wooden dining table,aluminium,28.4,1,pu polish,express,19800.0,83,32,61
executive office chair,sheesham wood,41.5,1,pu polish,express,40400.0,71,52,90
steel bookshelf,sheesham wood,42.2,1,charcoal finish,express,35000.0,42,18,65
study desk,cane,41.6,1,matte,express,23100.0,32,35,50
wooden wardrobe,cane,10.8,1,natural polish,rush,16200.0,32,56,87
modular tv unit,particle board,22.0,3,natural polish,rush,46600.0,36,35,89
iron table,teak wood,20.0,1,natural polish,rush,26500.0,62,33,39
wooden partition,brass,8.4,4,gloss,express,62200.0,60,16,95
wooden wardrobe,sheesham wood,20.4,1,matte,rush,18100.0,12,41,27
glass coffee table,teak wood,14.6,1,melamine,standard,15000.0,41,25,54
iron table,brass,5.2,1,raw,standard,11800.0,49,13,15
