item_type,dimensions,material_type,labor_hours,quantity,finish_type,urgency_level,price
brass showpiece,83x30x89,engineered wood,16.3,1,melamine,rush,18500.0
cane stool,13x33x44,glass,9.8,1,pu polish,standard,6500.0
bed frame,60x36x73,aluminium,4.0,1,pu polish,standard,8300.0
wooden partition,75x12x65,glass,21.4,1,raw,rush,16900.0
teak rocking chair,64x11x74,iron,23.3,1,gloss,standard,15300.0
glass coffee table,15x11x20,teak wood,26.4,1,raw,express,20300.0
wooden partition,85x45x28,iron,16.0,1,gloss,express,15200.0
bed frame,64x33x40,particle board,28.1,4,pu polish,standard,55400.0
teak rocking chair,20x33x15,teak wood,2.2,1,matte,rush,4500.0
glass coffee table,16x51x55,glass,38.6,3,matte,rush,86000.0
iron table,73x33x51,teak wood,29.4,1,charcoal finish,rush,28700.0
wooden chair,89x12x15,glass,12.1,1,melamine,rush,14300.0
brass showpiece,53x22x65,particle board,29.4,1,charcoal finish,rush,18600.0
executive office chair,34x48x29,engineered wood,11.8,1,pu polish,standard,8300.0
glass coffee table,53x54x76,brass,39.5,1,raw,express,37500.0
wooden dining table,73x42x15,aluminium,20.4,1,charcoal finish,standard,12700.0
executive office chair,81x17x41,particle board,11.6,1,natural polish,rush,15300.0
cane stool,73x58x72,brass,12.8,4,matte,standard,81100.0
glass coffee table,67x26x73,teak wood,23.6,1,melamine,standard,18000.0
steel bookshelf,13x53x46,teak wood,27.5,1,matte,rush,28500.0
study desk,49x33x83,sheesham wood,29.2,1,natural polish,standard,22700.0
wooden partition,81x25x17,teak wood,31.1,1,matte,rush,26900.0
glass coffee table,63x50x47,glass,24.3,1,raw,rush,20900.0
wooden chair,34x40x56,particle board,30.4,1,matte,express,17000.0
teak rocking chair,13x10x62,engineered wood,26.0,4,raw,standard,63000.0
brass showpiece,30x57x94,particle board,40.1,2,matte,rush,59000.0
wooden chair,83x45x52,sheesham wood,27.0,1,raw,rush,32300.0
lounge sofa,29x55x80,particle board,30.0,1,natural polish,standard,19200.0
wooden chair,32x57x34,engineered wood,34.0,1,matte,express,19000.0
wooden chair,33x55x44,teak wood,18.9,4,raw,rush,88100.0
cane stool,39x56x78,iron,11.9,2,melamine,express,21600.0
glass coffee table,28x53x44,engineered wood,41.3,4,natural polish,standard,77000.0
cane stool,71x42x77,teak wood,10.2,1,pu polish,standard,13800.0
glass coffee table,65x12x60,iron,28.4,1,matte,express,18400.0
brass showpiece,13x35x31,iron,7.9,2,charcoal finish,rush,23800.0
brass showpiece,61x34x38,aluminium,24.0,3,charcoal finish,express,55800.0
executive office chair,27x23x90,engineered wood,3.2,2,matte,express,20000.0
brass showpiece,69x31x72,brass,12.8,2,natural polish,standard,37700.0
wooden wardrobe,19x53x19,brass,38.2,1,natural polish,standard,23500.0
wooden dining table,41x28x31,glass,20.6,1,charcoal finish,standard,11100.0
steel bookshelf,34x18x26,aluminium,9.5,1,melamine,express,6400.0
wooden partition,59x34x15,iron,33.7,4,pu polish,express,74500.0
steel bookshelf,78x21x40,brass,34.6,1,melamine,rush,32800.0
executive office chair,73x14x90,steel,34.8,1,charcoal finish,standard,21100.0
wooden dining table,34x19x83,teak wood,13.2,2,pu polish,express,35000.0
modular TV unit,15x25x38,teak wood,42.6,3,melamine,standard,76600.0
study desk,46x42x47,engineered wood,37.3,2,raw,express,48900.0
study desk,46x32x95,iron,18.6,1,melamine,rush,16100.0
lounge sofa,18x13x72,iron,29.0,1,natural polish,standard,13000.0
cane stool,47x19x87,engineered wood,26.8,1,matte,standard,13900.0
wooden dining table,35x32x76,iron,12.3,1,matte,rush,14800.0
executive office chair,41x26x76,cane,18.8,1,matte,rush,19000.0
study desk,30x21x23,glass,42.9,1,matte,standard,23300.0
modular TV unit,23x34x66,steel,34.4,1,melamine,rush,24400.0
teak rocking chair,53x48x28,cane,21.0,1,melamine,standard,11200.0
study desk,85x53x31,iron,5.6,1,charcoal finish,standard,6900.0
modular TV unit,77x14x43,particle board,44.4,1,gloss,rush,26600.0
wooden chair,82x34x59,brass,18.2,1,raw,standard,20000.0
glass coffee table,85x35x33,brass,23.2,1,charcoal finish,rush,29900.0
iron table,50x10x17,aluminium,43.4,1,raw,standard,19300.0
bed frame,49x15x72,teak wood,43.7,1,matte,standard,28400.0
wooden partition,86x46x50,steel,43.7,1,pu polish,standard,22600.0
wooden chair,14x25x71,teak wood,43.2,3,melamine,express,100000.0
cane stool,19x37x50,brass,17.2,1,raw,standard,12100.0
bed frame,74x26x87,steel,37.0,1,matte,rush,27500.0
executive office chair,80x56x39,glass,42.1,1,melamine,express,29500.0
steel bookshelf,76x27x63,cane,34.2,1,matte,express,23800.0
study desk,12x30x69,teak wood,37.0,2,melamine,standard,48000.0
wooden wardrobe,64x46x88,glass,12.6,2,melamine,rush,32400.0
glass coffee table,43x43x86,engineered wood,23.4,1,pu polish,standard,17700.0
wooden wardrobe,23x10x68,glass,5.8,4,natural polish,express,41100.0
teak rocking chair,34x24x28,teak wood,11.2,1,charcoal finish,rush,19700.0
iron table,41x24x65,brass,17.0,3,gloss,express,63000.0
wooden chair,62x26x19,sheesham wood,21.8,1,charcoal finish,express,21700.0
modular TV unit,45x15x67,teak wood,11.0,1,raw,standard,14500.0
study desk,34x25x89,glass,29.6,1,charcoal finish,standard,18600.0
wooden dining table,78x36x46,sheesham wood,10.3,1,matte,rush,21900.0
modular TV unit,12x14x26,brass,17.7,1,melamine,express,15500.0
executive office chair,58x31x70,particle board,41.6,2,gloss,standard,46400.0
wooden chair,19x58x66,aluminium,17.9,1,raw,standard,14500.0
lounge sofa,89x33x16,aluminium,3.6,1,raw,rush,11400.0
brass showpiece,29x47x29,glass,33.7,1,charcoal finish,rush,22100.0
modular TV unit,55x34x31,cane,22.4,1,matte,standard,10800.0
teak rocking chair,45x56x22,iron,26.3,1,charcoal finish,rush,19300.0
steel bookshelf,75x43x73,brass,44.4,1,raw,express,41200.0
teak rocking chair,32x15x84,teak wood,8.9,1,melamine,express,14200.0
lounge sofa,14x40x54,sheesham wood,44.9,1,charcoal finish,standard,25800.0
iron table,15x24x20,engineered wood,23.1,4,raw,rush,77100.0
wooden partition,56x53x19,sheesham wood,15.9,1,gloss,rush,18000.0
wooden dining table,23x56x15,teak wood,14.4,1,raw,standard,12200.0
lounge sofa,14x42x20,engineered wood,7.8,1,melamine,rush,8000.0
bed frame,76x46x87,iron,27.6,1,melamine,express,21800.0
glass coffee table,71x53x64,teak wood,33.4,1,melamine,express,32700.0
glass coffee table,71x38x86,glass,34.3,2,matte,express,45000.0
steel bookshelf,89x35x76,steel,39.7,1,melamine,rush,29400.0
iron table,43x47x37,sheesham wood,26.8,1,charcoal finish,express,23600.0
wooden chair,64x49x65,cane,20.6,1,gloss,express,17600.0
brass showpiece,40x42x41,glass,8.5,1,gloss,rush,8800.0
executive office chair,44x13x80,steel,39.7,1,natural polish,rush,26400.0
wooden wardrobe,58x45x66,brass,36.3,1,melamine,rush,38100.0
wooden partition,13x36x50,engineered wood,12.8,1,raw,standard,8700.0
wooden dining table,83x32x61,aluminium,28.4,1,pu polish,express,19800.0
executive office chair,71x52x90,sheesham wood,41.5,1,pu polish,express,40400.0
steel bookshelf,42x18x65,sheesham wood,42.2,1,charcoal finish,express,35000.0
study desk,32x35x50,cane,41.6,1,matte,express,23100.0
wooden wardrobe,32x56x87,cane,10.8,1,natural polish,rush,16200.0
modular TV unit,36x35x89,particle board,22.0,3,natural polish,rush,46600.0
iron table,62x33x39,teak wood,20.0,1,natural polish,rush,26500.0
wooden partition,60x16x95,brass,8.4,4,gloss,express,62200.0
wooden wardrobe,12x41x27,sheesham wood,20.4,1,matte,rush,18100.0
glass coffee table,41x25x54,teak wood,14.6,1,melamine,standard,15000.0
iron table,49x13x15,brass,5.2,1,raw,standard,11800.0
modular TV unit,45x42x69,aluminium,32.8,1,natural polish,express,22200.0
wooden chair,70x17x68,particle board,26.5,1,charcoal finish,rush,21700.0
wooden partition,89x41x60,sheesham wood,19.1,2,gloss,rush,43400.0
wooden wardrobe,66x57x21,steel,33.6,1,pu polish,rush,24500.0
glass coffee table,71x27x16,glass,28.9,3,raw,standard,50100.0
